Blocks,low_pharm,high_pharm,low_patient,high_patient
442,20462.2551,26582.1188,255.7781893,332.276485
443,20459.8987,26579.0365,255.7487333,332.237956
444,20457.5528,26575.9681,255.71941,332.199601
445,20455.2175,26572.9135,255.6902184,332.161419
446,20452.8926,26569.8726,255.6611577,332.123407
447,20450.5782,26566.8453,255.6322271,332.085566
448,20448.2741,26563.8315,255.6034256,332.047893
449,20445.9802,26560.8311,255.5747525,332.010389
450,20443.6965,26557.8441,255.5462067,331.973051
451,20448.5572,26565.8367,255.6069644,332.072958
452,20446.2779,26562.8518,255.5784737,332.035647
453,20444.0087,26559.8801,255.5501088,331.998501
454,20441.7495,26556.9214,255.5218688,331.961518
455,20439.5002,26553.9758,255.493753,331.924698
456,20437.2608,26551.0431,255.4657605,331.888039
457,20435.0312,26548.1233,255.4378905,331.851541
458,20432.8114,26545.2162,255.4101421,331.815202
459,20430.6012,26542.3217,255.3825148,331.779021
460,20428.4006,26539.4399,255.3550075,331.742998
461,20448.8361,26567.59,255.6104512,332.094875
462,20446.6056,26564.6659,255.5825697,332.058324
463,20444.3847,26561.7545,255.5548085,332.021931
464,20442.1734,26558.8556,255.5271671,331.985695
465,20445.8156,26565.1717,255.5726956,332.064646
466,20443.6107,26562.2779,255.5451343,332.028474
467,20441.4153,26559.3965,255.5176912,331.992456
468,20439.2292,26556.5274,255.4903653,331.956593
469,20437.0525,26553.6706,255.4631559,331.920882
470,20434.885,26550.8259,255.4360623,331.885324
471,20433.7883,26549.4087,255.4223534,331.867609
472,20431.6369,26546.5851,255.395461,331.832314
473,20429.4946,26543.7734,255.3686824,331.797168
474,20427.3613,26540.9736,255.3420167,331.76217
475,20425.2371,26538.1856,255.3154634,331.72732
476,20423.1217,26535.4093,255.2890216,331.692616
477,20421.0153,26532.6447,255.2626906,331.658058
478,20418.9176,26529.8916,255.2364699,331.623645
479,20416.8287,26527.15,255.2103586,331.589375
480,20414.7485,26524.4198,255.1843561,331.555247
481,20434.3627,26551.4307,255.4295333,331.892884
482,20432.2547,26548.6615,255.403184,331.858268
483,20430.1555,26545.9037,255.3769438,331.823797
484,20428.065,26543.1574,255.350812,331.789467
485,20425.983,26540.4223,255.324788,331.755279
486,20423.9097,26537.6986,255.2988711,331.721232
487,20421.8448,26534.986,255.2730606,331.687325
488,20419.7885,26532.2845,255.2473559,331.653556
